participant,technique,movement,clustering,trial,time_ms,errorClicks,amplitude_px,targetRadius,clickInside,distNorm,distPx,targetSpeed,targetVx,targetVy,clickX,clickY,targetX,targetY,prevTargetX,prevTargetY
1,POINT,FAST,LOW,9,1074.0,1.0,306.76,16.014191201798873,True,0.579,9.27,114.68,58.84,98.43,526.0,225.0,525.6,234.3,514.0,540.8
1,POINT,FAST,LOW,10,711.0,0.0,404.08,26.994823818657828,True,0.152,4.11,135.57,-135.42,-6.31,169.0,53.0,165.7,50.5,525.6,234.3
1,POINT,FAST,LOW,11,785.0,0.0,416.03,23.01101991716147,True,0.886,20.39,122.16,-101.89,-67.39,473.0,347.0,476.6,326.9,165.7,50.5
1,POINT,FAST,LOW,12,1670.0,2.0,458.34,20.262925277654013,True,0.971,19.68,119.49,30.42,115.55,43.0,148.0,47.0,167.3,476.6,326.9
1,POINT,FAST,LOW,13,730.0,0.0,251.49,24.780204145405236,True,0.591,14.65,70.81,-33.71,-62.27,203.0,379.0,203.2,364.4,47.0,167.3
1,POINT,FAST,LOW,14,868.0,0.0,85.49,21.933388526076946,True,0.252,5.52,134.64,-28.62,-131.56,119.0,355.0,119.0,349.5,203.2,364.4
1,POINT,FAST,LOW,15,880.0,0.0,338.21,18.697299370843762,True,0.907,16.96,0.0,0.0,0.0,32.0,40.0,24.7,24.7,119.0,349.5
1,POINT,FAST,LOW,16,1118.0,0.0,559.91,16.42773196895608,True,0.686,11.26,133.37,-21.17,131.68,566.0,161.0,564.8,172.2,24.7,24.7
1,POINT,FAST,LOW,17,915.0,0.0,417.45,21.47194127956767,True,0.823,17.67,112.43,112.43,0.0,429.0,570.0,446.5,572.5,564.8,172.2
1,POINT,FAST,LOW,18,914.0,0.0,442.8,19.49667437816221,True,0.444,8.65,134.53,41.06,128.11,70.0,351.0,61.7,353.4,446.5,572.5
1,POINT,FAST,LOW,19,748.0,0.0,122.06,12.928189355877018,True,0.451,5.84,127.43,122.23,36.04,141.0,268.0,146.2,265.3,61.7,353.4
1,POINT,FAST,LOW,20,1174.0,0.0,377.46,10.983202023633238,True,0.701,7.7,154.59,-119.05,-98.63,394.0,559.0,386.9,556.1,146.2,265.3
1,POINT,SLOW,LOW,1,719.0,0.0,,21.985100806933215,True,0.35,7.69,120.0,118.83,16.74,477.0,183.0,483.1,178.3,,
1,POINT,SLOW,LOW,2,1157.0,1.0,77.82,12.372529898089788,True,0.424,5.24,120.0,-25.54,-117.25,445.0,252.0,446.4,246.9,483.1,178.3
