participant,technique,movement,clustering,conditionIndex,techBlock,trialNumber,time_ms,errorClickCount,clickX,clickY,targetX,targetY,distanceToCenter_px,normalizedDistance,clickedInsideTarget,amplitude_px,targetRadius,targetVx_px_per_s,targetVy_px_per_s,targetSpeed_px_per_s,shannon_id_bits
1,POINT,STATIC,HIGH,4,1,19.0,630,0,550.0,421.0,536.8,424.5,13.66,0.617,True,136.1,22.14744956193853,0.0,0.0,0.0,2.025946068534586
1,POINT,STATIC,HIGH,4,1,20.0,586,0,190.0,199.0,179.6,196.6,10.73,0.411,True,423.79,26.138294847043213,0.0,0.0,0.0,3.1869264503229293
1,POINT,SLOW,MEDIUM,5,1,1.0,779,0,504.0,145.0,505.2,138.8,6.34,0.481,True,,13.163989642958093,65.15,-100.77,120.0,
1,POINT,SLOW,MEDIUM,5,1,2.0,677,0,345.0,116.0,331.1,115.6,13.88,0.553,True,175.58,25.104552677601056,-117.38,24.92,120.0,2.168954951844504
1,POINT,SLOW,MEDIUM,5,1,3.0,1020,1,429.0,102.0,428.2,103.3,1.5,0.149,True,97.85,10.06877720485715,34.55,114.92,120.0,2.5506742968518124
1,POINT,SLOW,MEDIUM,5,1,4.0,661,0,275.0,175.0,277.5,178.1,3.94,0.282,True,168.26,13.948690150038907,-72.52,95.61,120.0,2.8138100595098425
1,POINT,SLOW,MEDIUM,5,1,5.0,656,0,543.0,182.0,548.1,196.9,15.78,0.7,True,271.26,22.557223135084445,27.33,116.85,120.0,2.8099716937862174
1,POINT,SLOW,MEDIUM,5,1,6.0,983,0,257.0,461.0,262.1,452.5,9.93,0.83,True,383.53,11.964841283984438,-55.54,106.38,120.0,4.089784149745222
1,POINT,SLOW,MEDIUM,5,1,7.0,834,0,233.0,421.0,230.7,416.5,5.06,0.434,True,47.73,11.65715958098816,114.29,-36.58,120.0,1.607502993567204
1,POINT,SLOW,MEDIUM,5,1,8.0,663,0,254.0,393.0,245.5,392.6,8.52,0.689,True,28.05,12.370980631640656,-56.69,105.76,120.0,1.0933583988527127
1,POINT,SLOW,MEDIUM,5,1,9.0,854,0,67.0,525.0,72.9,519.5,8.03,0.359,True,214.24,22.408308335150906,-32.19,-115.6,120.0,2.5311617874649652
1,POINT,SLOW,MEDIUM,5,1,10.0,831,0,453.0,228.0,462.7,227.2,9.78,0.706,True,487.3,13.855963899895812,-94.61,73.82,120.0,4.21602686432553
1,POINT,SLOW,MEDIUM,5,1,11.0,1195,1,246.0,111.0,236.4,108.0,10.04,0.742,True,255.8,13.539059844375466,-78.51,-90.76,120.0,3.384981123768487
1,POINT,SLOW,MEDIUM,5,1,12.0,1067,0,541.0,525.0,541.5,520.0,4.98,0.295,True,512.68,16.877524306766276,2.59,-119.97,120.0,4.016874819972957
1,POINT,SLOW,MEDIUM,5,1,13.0,782,0,233.0,537.0,244.7,528.7,14.36,0.626,True,296.88,22.945168808743123,52.39,-107.96,120.0,2.900979942193592
1,POINT,SLOW,MEDIUM,5,1,14.0,860,0,100.0,365.0,94.5,356.7,9.93,0.864,True,228.37,11.488534448043366,119.98,-2.35,120.0,3.4514141897288635
1,POINT,SLOW,MEDIUM,5,1,15.0,1704,1,205.0,95.0,198.3,100.4,8.57,0.508,True,276.53,16.8896978784558,57.1,105.54,120.0,3.1994919537492295
1,POINT,SLOW,MEDIUM,5,1,16.0,899,0,88.0,49.0,88.3,49.2,0.33,0.017,True,121.38,19.96230610980191,111.52,-44.32,120.0,2.0144373902056945
1,POINT,SLOW,MEDIUM,5,1,17.0,736,0,89.0,173.0,83.1,193.7,21.52,0.793,True,144.62,27.147005444835152,96.49,-71.35,120.0,1.8732799288646838
